final_preprocessed_text,sentiment
one finest movie ever seenthe stark scenerythe isolationthe ignorant bigoted people hiding behind religiona backdrop wordliness sophisticationthe acting completely naturalbut afoodie best actual choosing preparation feasti spent time paris know cuisine wellwhether not cafe anglais really exists dont know know similar establishment babettes menu choice wine authenticand course end despite perfect meal mellows back friendship ending could bethis film seen anyone enough brain taste understand,positive
set second year french republic formed execution louis xvi film portrays power struggle revolutionary leader danton gerard depardieu finest robespierre commanding performance polish actor wojciech pszoniak moderate revolutionary danton returned paris country seat since deposed leader committee public safety previous year robespierre opposed reign terror resulted execution thousand citizen mainly guillotine thought opposed revolution danton confident support ordinary people try persuade robespierre curb bloodletting robespierre committee afraid popularity danton lead overthrown put danton supporter trial traitor first french language film made andrzej wajda arrived france poland polish film company closed government due support solidarity trade union opposed polish government late seventy early eighty previous film man iron dealt solidarity union leader lech walesa easy draw comparison relationship walesa polish leader general jaruselski danton robespierre dantonwalesa voice reason opposed robespierrejaruselski continue dictatorial rule despite lost support people claim represent film based polish play danton affair written stanislawa przybyszewska release film criticised static theatrical film concentrate behindthescenes meeting committee scene national assembly courtroom rather activity street paris,positive
usually im bit fan bad eighty early ninety film featuring beensbut film incredibly terrible real endurance test sit guy dressing girl done death never pathetically corey haims performance abysmal usual nicole eggert not much better no redeeming quality even number fan actoractress piece trash stay away,negative
seen quite film pedro almodvar would disappointing far film seemed lack zaniness usually everywhere film story never got interested many almodvar regular appear film not like lack onscreen talent film seemed serious film comedic edge movie certainly couldnt find made one surprisingly weak movie,negative
greatly enjoyed margaret atwoods novel robber bride thrilled see movie version woman frame cop boyfriend murder buddy excop journalist try clear name checking dead woman crazy female friend fortunate movie script fix m atwoods clumsy plotting focusing story two men victim scheming womenbr br heh okay got guy mentioned book im pretty sure theyre entirely made movie ill eat dust cover hardback copy apparently three main female character novel arent enough carry movie zenias manipulation arent interesting unless see happen man man life screwed roz chari toni tell story man not important man doesnt hear thembr br liked character book hurt see pushed side man story normally not look feminist angle medium tried enjoy movie hadnt read book might enjoyed movie lot like cop excop want read youre luck read novel want enjoy luscious prose characterization subtly layered plot plot movie excavated ironed sprinkled male angst like zenias revenge margaret atwood,negative
movie get lot gore itwho care plot actingthis italian horror movie people know cant expect much acting ploteverybody know fulci took footage movie added onesince never seen movie took footage didnt matter methe italian godfather gore done moviethis one goriest italian movie ever seeno gore hound without movie horror movie collectionbuy movie no matter horehound dream come true,positive
ingrid bergman playing dentist walter matthaus faithful receptionist harbor little crush bos absolutely wonderful film handle witty repartee script aplomb steal terrific scene goldie hawn talk record booth ingrids monologue front face tell belief heart matthau odd choice leading man he old goldie hawn unrefined bergman not mention unfocused dentist liked way try hard please goldie stumble around trying free lie hawn supporting oscar fresh bubbly today bedroom farce isnt terribly sophisticated faintly reminds one wednesday besides welcome relief noisy teenoriented comedy turn today cactus flower lovely sigh,positive
bored television director introduced black art astral projection girlfriend learning ability separate spirit body man find renewed interest life sense wellbeing unfortunately man discovers sleeping spirit leaf body uncontrolled body roams street murderous rampage according dvd sleeve synopsisbr br synopsis isnt entirely correct turn outbr br anyway movie open dizzying outofbody example handsome director winston rekert paul sharpes newly discovered astral body experience also foreshadows upcoming dogfight young andrew bednarski matthew sharpe kid draw picture blue man murder spree begin handsome detective john novak stewart kaufman discovers victim connected mr rekert mr novaks investigation lead supernatural prime example karen black janus rekert fear falling lovebr br several cast perform well blue man wind tying knot aka eternal evil unsatisfying story try far clever good,negative
ah yes time reaganomics sly chuck host action star hiding remote jungle blowing away commie time couldnt believe movie like rambo missing action uncommon valor forget ridiculous red dawn made money box office theyre turgid action crap fests rather putting right wing agenda dated badly tromas war tongue cheek take type movie youve got ask need spoofing first place course not tromas war lack sort sophistication though make point there no real difference right wing tyrant left wing one sometimes feel like grade z movie send maybe,negative
tale based two edgar allen poe piece fall house usher dance death poem actually quite creepy beginning end similar old blackandwhite movie people meet old decrepit house example cat canary old dark house night terror boris karloff play demented inventor lifesize doll terrorize guest dy early film resident house subjected number terrifying experience wont go much detail definitely mustsee fan old dark house mysteriesbr br watch plenty popcorn soda darkened roombr br dan basinger,positive
happy surprised much interest movie jack frost introduction film produced distributed apix entertainment without exception everything company deal pure crap first important never ever watch movie sober would unlike many entertaingly bad movie one feel made intentionally bad cant get fake snowman always shown briefly way move best movie waaaaaaaaaaay better michael keaton piece crap becuz made good movie version bad,negative
revolt zombie prof director revamp recycle idea doesnt necessarily make lightning strike twicebr br halperin brother responsible horror classic white zombie made trite piece garbage mere year later cash popularity even recycled closeup lugosi eye previous film court battle white zombie film right owner didnt want halperins able use word zombie title word thing could help film everyone know bad film make much money simply word zombie appear title knowing victor halperin capable year make uninteresting film insulting seems never directed another horror film debacle zombie seem not true walking dead simply hypnotism victimsbr br wan na create mindcontrolled army zombie ready crack egg including ownbr br lame plot man fall love scheming woman play heart becomes engaged make friend love jealous sends man spiral madness try using zombie mindcontrol technique change thing advantage attempt win woman isnt worth spitbr br includes one blatantly obvious plot development ive ever seen youd blind stupid not see ending coming acting isnt even good movie make racially insensitive king zombie appeared double bill dvd bought seems like atmospheric horror masterpiece comparison reminds u not every black white film classic make atomic age scifi alien zombie cheese fest invisible invader seem like serious drama one big ball cheese ridiculously melodramatic could probably make many korean film fan twitch south korean film often known use melodrama credit list ironically named company favorite film im not sure whose favorite film would theyre obviously idiotbr br not recommended fan zombie romance classic film,negative
complaint valid biggest problem soap opera aimed woman okay night time soap like grey anatomy ugly betty west wing story interesting even given never end however idea parallel daytime soap aimed putting hunky men taye diggs tim daly chris lowell sexual tension romp numerous ridiculous difficult situation socalled little hospital seems like general hospitalor female counterpart baywatch men wanted woman want idea high brow show something men watch unrealistic,negative
movie one best movie seen year didnt see cameo movie still pretty good similar anchorman humor department think better put together movie actually point going see whole bunch ta disappointed well put together movie nothing day need lot humor find really good movie definitely think ebert roepers review movie right mean dont really like ebert movie movie agree movie contains good enough story actually believable type people definitely something said treat virginity movie yea sure get laughed found still suggests wait steve wonderful job portraying person movie yet still funny,positive
remember seeing film mid thought well paced well acted piece work quite often berkeley square get copy dvd remind little area changed although office newish second away bank even jack barclays car dealership still selling bentleys roll roycesbr br look like dvd due region release soon region copy poor quality let hope theyve cleaned upbr br slightly dodgy escape sequence court spoil would otherwise great film guess line caper tag film go,positive
two hour ago watching brilliant movie overwhelmed imprisoning photography quite understandable prize best camera cannes close ups predominated close ups wall human many thing warm colored lighting also usually director gave movie warm atmosphere two person principally seen interesting music especially three song theme accompanied movie nearly time one theme represented certain atmosphere whole movie silence slow movement characterize movie scene extended moment serious closeup not tony leung deserves prize superb acting since maggie cheung also brilliant wonder many dress wearing different scene story also connected somehow history hong kong region prevented understanding detail especially end short would recommend fan artistic movie watch cinema,positive
luckily bill murray lightweight project since pretty much carry meatball story lowrent camp northstar counselor deal camper well one another much made wealthy rival across lake named camp mohawk culminates twoday olympiad competition bill murray clowning around making pretty memorable film debutbr br film sprinkled mediumsized laugh chuckle guffaw along way biggest laugh come prank played nerdy camp director three involve counselor moving bed outside various location he sleeping morty micky everyone call wake along side road strung tree several foot ground finally floating raft middle lake also funny moment involving counselor hitting one another pg rated film little way raunchinessbr br film take serious note involving shy camper named rudy played chris makepeace course murray teach kid open give confidence need run marathon olympiad sentimentality rudys situation seems tacked great degree notice murray first see kid sitting alone grass getting bus tell must short depressed kid ordered make wonder line really script murray adlibbing camera rolling word murray might well said makepeace must actor hired play stereotypical lonely kid see summer camp film doesnt fit murray performance make plot device bearable really seems good chemistry makepeacebr br film culminates game two rival camp little event shown even slightly believable doesnt matter pretty good film many level dont let absurd rating film currently getting scare murray keep laughing throughout warned avoid sequel especially one corey feldman starsbr br hound,positive
danish bladerunner boldly stated box kidding film complete drag im thirsty go soda kitchen usually pause vcr wont miss anything not time actually found looking long hard fridge wouldnt go back hell not one sciencefictionscriptwriter vaguest clue computer work mindboggling one premise film hero who hacker little computerassistant help microsoft office paperclip finally caught future loses assistant movie he helpless cant get computer he hacker like saying cant drive car dont lucky drivingcap wont even go lightningeffect recieves electroshock,negative
movie show clip live animal mutilation animal getting hacked machete getting skin ripped know horrible thing happen world im watching movie based fact im watching not actually happening screen live animal clip not meant movie meant show people belong certain organization help horrible thing human speciesbr br banned destroyed also contacted netflix resource collaborate getting movie marketbr br movie removed public person made movie need psychological help,negative
anyone think kool moe dee carol alt corey feldman comprise list good actor must smoking something id love try sometime begin lousy soundtrack hammy acting action place typical amateurishly written hack fodder washedup hasbeen neverwass love star actually felt embarrassed star film thespian missing top turd gary coleman would movie would made least somewhat howlingly bad rather plain badbr br one part film carol alt screamed think im idiot yes carol agent please love decent holy go away stop degrading like film something anna nicole smith would take part inbr br would tell plot would one sentence fragment article plus mind drifted many time movie anyway barely paid attention,negative
film could decent remake gosh know tried m english tried assembling talented actor together successful experienced writerdirector formula decent film m english experience according imdb bio exclusively limited television work glaringly obvious throughout filmbr br surprised none review read mention found unlikeable film kept reaching even portion potential looked felt like made television give credit m english many joke simply not work movie screen would terrific tv maybe laugh track would helped much camera usage lighting would played fine tv looked awkward odd big screen whole film chopped miniseries sitcom think could worked cinema sadly m english talent didnt translate cringed many different point embarrassment actor writer felt like came theater half shriveled meg ryan usual perky cute self except awful plastic surgery face chance use talent made film doesnt recreate stereotyped role done well not annette bening seemed simply go motion great talent yet poor performance enjoyed woman character caricature substance sad see worked film doesnt translate no one helped m english get change update subtlety right writer director producer reached assistance think could good notbr br frustrating go movie good star good writer director come away feeling waste everyones time money new yorker cartoon saw yesterday appropriate movie exec meeting caption read let remake classic worse everything,negative
find intriguing lee radziwill jackie kennedy sister cousin woman would encourage maysles make big edie little edie subject film certainly could considered skeleton family closet extra feature dvd include several contemporary fashion designer crediting idea oddball woman id say anyone interested fashion would find discussion designer fascinating ie nut missing something movie hard come netflix not facet though,positive
cmon guy previous reviewer nearly written novel commenting episode old tv show episode star trek notable serious babe yeoman barrow ever used star trek fact filmed real outdoor location unlike tng voyager series totally confined sound stagesbr br use outdoor location babe give proper depth almost film like quality quite ordinary episode dated familiar showbr br except notable exception ie city edge forever assignment earth tomorrow yesterday old series star trek need seriously mothballed put boring misery half dozen good episode quite poor batting averagebr br typical boring stuff gene roddenberry produced back actually contrary popular belief people worshiped ground walked actually made lot rubbish doesnt deserve spoken breath irwin allen examplebr br look set bridge enterprise modern point view used wobbly plywood floor cafeteria chair plastic back cheap cardboard instrument panel clearly see fold paper every expense spared,negative
watched movie premier night curiosity sheer nostalgia liked not loved mork mindy kid mostly robin williams zany energetic performance movie made remember original show great not really robin certainly brings moviebr br pleasantly surprised expecting nothing paint number chronological retelling show way course real focus robin interesting see robin journey struggling street jester national tv star drastic difference affected long suffering wife hat star chris diamantopoulos portrayed mr williams integrity sensitivity heart not cute impression although even deadon unrelated note noticed robin struggle way similar andy kaufman underappreciated network tv held back creatively thats taxi behind scene biopicbr br enjoyable flick felt got know little man behind orkan acting solid never melodramatic like suspected story moved along well performance particularly good played garry marshall john belushi scene belushi heckle robin hoot not great masterpiece mean would liked seen tad pam dawber definitely watchable especially robin williams mork mindy fan nanoo nanoo,positive
caught film azn cable sounded like would good film japanese green card cant say ive ever disliked asian film quite contrary incredible horror film time japanese korean huge fan john woos hong kong film not adverse light hearted film like tampopo chung king express two favourite thought would like well would rather slit wrist drink blood watch laborious badly acted film ever againbr br think director steven okazaki must spiked water quaalude no one film personality character try act opposed mumbling line two performance came across forced incredibly fake honestly not think anyone ever acted beforethe person sounded genuine brenda aoki find amazing promoted comedy didnt laugh even surprising cbs morning news called refreshing breath comedy neither refreshing breath comedy ending predictable previous reviewer must idiot think thingsbr br avoid film unless want see boring predictable plot line wooden acting actually think spike bensonhurst better acted film thisand walked half way film,negative
begin let get something chest im huge fan john eyre first film project shadowchaser film bgrade cross terminator die hard may not work cinematic genius hugely entertaining action film became cult hit spawned two sequel spin offbr br judge jury begin joseph meeker convicted killer sent death row following capture socalled bloody shootout seems like poor name killing spree meeker kill three people trying rob convenience store led electric chair amusing scene meeker talk priest living sex meeting one true love killed shootout expressing revenge person killed michael silvano washedup football star spends day watching son alex practicing football high school team end harassing son coach executed meeker return revenant kelly perine call hamburger without fry whose sole aim get revenge basically mean making silvanos life miserybr br let point fact judge jury not true horror film supernatural action film meeker chasing silvano using ability change form amount david keith dressing everything elvis impersonator french chef accent bad moustache drag queen clown standup comedian shotgun fire explosive round invulnerability death although doesnt stop martin kove shooting keith desert eagle pay silvano back killing meekers wifebr br director john eyre not seem interested characterisation instead focusing solely action scene film plenty film main flaw since there nothing connect action scene together acting surprisingly good keith delivering best performance supported ably kove well paul koslo play washedup cop quite well kelly perine annoying cabbie try help make situation worse,negative
ye lous film purple butterfly pit secret organization purple butterfly japanese force war torn shanghai ding hui zhang ziyi exlover hidehiko itami toru nakamura find opposite side conflict chance meetingbr br agree reviewer paris film substitute convoluted semihistorical conflict plot without giving audience single reason care character cause sudden time shifting doesnt help matter appears completely unwarranted pointless normally dont mind dark movie absence light bonejarringly shaky camera footage generally bad filmmaking technique really make tough film watch stay interested also agree viewer georgia film chaotic editing style claustrophobic cinematography dont think help movie backdrop film one potent event th century dont believe justice editing michael bay film overly melodramatic moment dont add watchabilitybr br actor suitably melancholy zhang ziyi show exceptionally limited acting range spends entire movie seems best film brooding looking generally annoyed however least add variety role chainsmoking engaging worst lovemaking scene since michael biehn linda hamilton terminatorbr br disappointing film especially seeing come director suzhou,negative
hearing george orwell prophetic masterpiece life im never read book totally confused ive seenbr br familiar concept covered novel im sure hearsay quote without limited knowledge film would complete mystery even im still no educated story watched itbr br plus sidebr br cinematography amazing hurt burton deliver fine performance overall feel movie wonderfully grim desolate prostitute scene fantastically dark piece film makingbr br side plentybr br war going least far propaganda concerned nothing explained couple name bandied eurasia etc mean nothing without explanationbr br winston come work changing news report isnt front line doesnt eat food canteen drink he drinking entire film weak ill isnt brainwashed like rest whats deal mother sister happened father little back story would nice no scrub essential like havent read book without confusing hard follow arthouse movie constantly keep guessing actually going onbr br soundtrack disjointed badly edited constant chatter big brother screen swamp dialogue place making even harder work whats going accept may artistic choice annoying samebr br also know mentioned nudity seemed totally gratuitous felt like thrown make lack plot coveragebr br personally cant abide way hollywood feel explain story line word word day not brainwashed simpleton step far way imagine totally relies fact youve read book film really literal translation ive seen many people say would find hard understand hailed classic isbr br there no denying light year ahead time pretty much predicted every change society date maybe sort bible power many scifi novelist done without leaving gaping hole storylinebr br guess done start buy copy book im make sense thisbr br disappointed something ive waited year watch,negative
cute animated short feature two comic icon betty boop henrybr br henry bald slightly portly boy comic never speaksbr br well speakbr br want get puppy betty boops pet store left mind store hilarious hijinks ensuebr br betty sings song pet henry get battle bird monkey everything work end,positive
got back free screening osama witch project handsdown worst film ive seen year worse even catwoman decency least pas fictionbr br september tape film crew documentary journalist head afghanistan despite thoroughly unprepared trip condition oh yeah psychotic ridiculous vendetta filmmaker leader avenge wife death sept track osama bin ladenbr br made eight tape journey document travel course attempt kill terrorist leader eight tape thankfully end point significant narrative convenient documentarybr br psychotic idiotic protagonist given long significant speech probably learned watching macgyver care nothing life life innocent crew get danger series completely dumb mishap dont know didnt wear sign back said shoot mebr br crew translator supposedly sensible voiceofreason little whine get baffled idiot hero lead doom br br wish theyd brought along someone trip call moronsbr br around tape began rooting terrorist shoot film crew,negative
remember seeing film theater yearsold math absolutely loved tarzan week seeing climbing furniture jumping around making monkey sound started fascination tarzan monkey oddly enough longer lasting love christopher lambert keep mind saw highlander shortly last time saw film month ago happened cable getting ready bed even though late tired work stayed watch movie loved kid br br upon viewing realized not great film even odder andie macdowell voice dubbed someone else ian holme course solid usual surprisingly monkey suit still kind held surprising good lambert tarzan great depth managed capture line primal body language importantly ability bring character extremely large ark amazingbr br stated earlier lambert fan im used highlander hunted fortress film really quite good shame never got chance portray character depth againbr br make short story way long little disappointed film not good glad see lambert good not regret staying see,positive
family traveling mid west there widower ben charles bateman girlfriend nicky ahna capri ben little daughter kt geri reischl hit town named hillsboro everyone act little strangely car break theyre forced stay soon find witch coven spell town incredible evilbr br story not good people figure thing nothing happen find witch end also lot loophole left dangling end acting pretty poor bateman capri bland everybody else old pro strother martin lq jones give good performance still movie work forgoes blood gore there pg mange work creepy visuals atmosphere acting hamper lot still work martin especially chew scenery role cant explain exactly sort like movie work quiet kind horror isnt made anymore hardly masterwork deserves rediscovered,positive
francis ford coppola wrote directed stunningly personal story married woman flight husbandand reality perhaps youthful glee excitement younger year behind learn little woman marriage except feeling independence slipping away late shes also recently learned shes pregnant complicated heart doesnt want complacent wifey despite maternal way speaks husband phone meet two men journey former college football hero whoafter accident gamehas left permanent brain damage sexy strutting motorcycle cop great deal trouble life clear clean landscape photographed talented wilmer butler astutely realized character shirley knight james caan robert duvall deliver strong gripping performance especially since not likable people conventional term scene knight first call home payphone first night alone caan play simon say almost intimate watch coppola toy reality turning jagged memory character scrapbook weve made privy allows scene play yet editing quite nimble film never allowed get heavy least two three frisky moment heady endeavorso much picture still shown festival nearly five year later may shun coppola unapologetic twisting event order underline finale bitter irony however forcefulness drive behind picture nearly obliterate shortcoming,positive
movie not well directed almost totally disregarded booki guess trying save time upside actor played finny cute dialog main character appeared little gay not case book major part book chopped outyou lost effect not haunting book left lacking severely also strong language although brief unnecessary also surprised not pleasantly new character no bookone favorite character leper poorly interpreted portrayed seemed sinister movie real leper book disappointing,negative
buzz film always fabulous graphic make kevin bacon disappear sadly stopped continued make script disappear silly set finally every visible element film there nothing else showbr br gary thompson andrew marlowe listed writing credit film dont really think exist think bought script scriptsrus buy standard blank monster movie script fill blank there monster stalking u let split actually let split movie hit aliengiantbugmonsterinvisibleman crowbar not dead yet burn hugerabbitsharkinvisibleman unsurvivable fire not dead yet know standard stuff even minimum number element specific invisible man movie ir glass spraying something like paint handled badly br br sad lot possibility fascinating movie psychological issue subject deterioration mind due process treating invisible subject many idea touched usually less second would far interesting desire save kevin bacon end would much better movie stunkbr br would mention incredibly stupid element ending movie dont want spoiler suffice say character stupid dont think pulling plug machine rather,negative
young girl becomes wartime marine penpal visit war end expecting someone bit available comic complication ensue ultimately work well naturally not everyone involved thoroughly chewed scenery errol flynns deadon impression humphrey bogart casablanca highlight various sendup swashbuckling image jumping scene kitchen forrest tucker riot tucker though tuck movie arm lower head barrel goal line demonstrates comic flair fully developed twenty year later ftroop imparts liveliness energy flynn repeatedly play raise performance eleanor parker fine job woman pursued little patti brady charm tucker actual penpal friend fine lightweight coming home comedy genteel setting child romantic age find entertaining,positive
movie perfect adaptation english flick unfaithful ashmit play role richard gere emran olivier malikka perfect cheating wife role lanethey changed second half film adapt indian mass br br even movie got full trace unfaithful though couldnt catch original cheap soft porn bollywood lover mallika showed lot skin anyone dared show emran role like even nicknamed serial killer future indian director plan remake english movie look feasibility plot indian censor though film bombed box office actor got undue recognition future director little careful remaking oscar nominated film br br said not family film take extra caution watching home family,negative
robert altmans downbeat newfangled western edmund naughtons book mccabe overlooked time release past year garnered sterling critical following aside completely convincing boomtown scenario character dont merit much interest picture look intentionally brackish unappealing bearded warren beatty play turnofthecentury entrepreneur settle struggling community outskirt nowhere help organize first brothel profit start coming beatty naturally menaced city tough want part action altman creates solemn wintry atmosphere movie give audience certain sense time place action sorry little town limitedmost story made vignettesand altmans pacing deliberately slow there hardly statement made opposite fact languid actor stare without much mind selfdefeating picture yet altmanquirky way wear defeat proudly,negative
seemed first another introverted french flick offering no baleful sentiment became second viewing genuinely insightful quite satisfying presentationbr br spoiler sort followsbr br poor cedric apparently didnt know hit poor audience first caught seemed really beautiful romantic story led back forth dark reality mismatch two guy didnt belong together first ambiguous encounter much mathieu cedric sexually attracted absence deeper emotional tie made impossible mathieu intellectual find fulfillment sharing life someone whose sensibility attuned carnival festivity romp beachbr br purely technical note loved camera action film subtitle totally unnecessary even though french presque rien could watch without annoying english translation enjoy even polished professionally made motion picture though many scene seem superfluous rate nine ten,positive
dont think ive ever gave something rating one easily get denomination find hard sit one joke not joke bad combine fact carson daily zero charisma cant set finish punchline youve got late night comedy recipe really turn stomachbr br watched show never entirety many time still creep conan usually watch minute two see carson daily still worst talk show host everbr br actually ever see interviewing guest interview feel sorry every time guest confused smile try mask body language thats screaming get hell away freak recommend watching show not laugh ponder got air he still watch much think find complete awkwardnessinteresting,negative
standard view purely awful movie however rate near perfect score unintentional comedy scale think actual comedy make laugh hard watching movie andy griffith ghost dressed native american garb dancing sends hysteric everytime wouldnt waste gas energy driving video store rent happen laying couch morning come tv check,negative
film first shot keira knightley elizabeth bennet wandering reading field dawn thus invoking clichs cinema developed address phenomenon strongminded rebellious female character period drama knew something make want kill myselfbr br joe wright seemed not not read book regrettable misapprehension filming not fact jane austen subtle nuanced comedy manner conducted sparkling delicate social interaction eighteenth century english drawingrooms sort ucertificate wuthering height thus treated every scene elizabeth darcy taking place outside no apparent reason inappropriately rugged scenery often pouring rain not mention jane austen particular p p not passion sexual tension love different strategy negotiating stultification eighteenth century society completely ignored bennet house rambunctious chaotic place everybody shout run around leaf underwear chair pig wander happily house society ball become rowdy country dance one step away matrix reloaded style danceorgy everybody say exactly think without slightest regard proprietybr br genius jane austen lie exploring void created society nobody say think mean overwhelming regard propriety tragic predicament character arise misunderstanding miscommunications enabled speechless gap brilliance jane austen factor allows plot particularly film function completely erased subtlety general nowhere int film sacrificed favour overwrought drama jarred entirely material performancesbr br obviously trying serious film humour pride prejudice austen methodology appeal almost entirely suppressed favour pofaced melodrama allowed handled clumsily pride prejudice serious narrative make serious point yes serious point weightier theme not intertwined humour embedded cant lose jane austen technique leaving bare bone story expect theme remain not even replace technique heavyhanded mysticalnuminous fauxbrow cinematographybr br elizabeth bennett supposed woman adult mature sensible clearsighted keira knightley played first half film like emptyheaded giggling schoolgirl second half like emptyheaded schoolgirl think tragic heroine elizabeth wit combative verbal exchange quintessential characteristic able see laugh everybodys folly including strength composure fantastic clearsightedness completely lost replaced lot giggling staring distance rather able keep head losing started cry scream slightest provocation not genuinely raging either no petulant hissy fit great strength austen elizabeth least austen eye ability retain integrity observance remaining within boundary society sustaining impeachable propriety knightleys elizabeth no regard whatsoever convention furthermore seemed think wandering around barefoot mud eighteenth century version overall established beyond doubt spirited strongminded therefore nothing character written performance sustain astonishingly unsubtle bland performance quest blandness weakness ably matched matthew macfaydenbr br donald sutherland mr bennet seemed weak ineffectual permanently befuddled without wicked sense humour ironic detachment expense human relationship make mr bennet fascinating tragic special bond lizzie two sensible people world fool completely lost not least fool world fool completely deprived end film emotional impact mr bingley no longer amiable wellmeaning point folly played complete retard cheap laugh woman playing jane wildly inconsistent may well not tried anything character script veered wildly verbatim chunk jane austen delivered remarkable clumsiness totally contemporaneous language would not place modern day romantic comedybr br get bbc adaptation dvd save heartache,negative
ive always enjoyed film depict life life sometimes boring patch no real plot not necessarily happy ending river run perfect name film norman macleans novel life ebb flow like river rough spot wonderful tripbr br robert redford brings lot film narration friendly feel fit picture perfectly director restrained calm capture incredibly beautiful scene acting craig sheffer brad pitt work surprising well brother dont know quite describe tom skerritt brenda blethyns performance except truly feel real river run wonderful filmbr br,positive
story trustworthy powerful technical side movie quite fine even directing main problem casting turned movie almost another local regular clich great lack impact even greater lack impression beside small role father rafael played impressively asi dayan actor unfortunately not best role elder blind girl played taly sharon fresh without intensity leading role therefore figure acted become mild low profile moment episode looked like rehearsal real movie good point begin make big improvement future,negative
movie not much promoted greeceeven though got good actor great script rather good photograph not called blockbuster movie country movie powerfulits hard time newcomer go return homevillage released yo prison timedrugs end rather sad mourikis trying keep part handle pretty well lambropoulou great sexy strange way course hatzisavvas one time close excellency greek movie make impression,positive
mystery men got stupidest film ive ever seen film thought fabulous excellent impressive funny welldone nice see ridiculous super hero change able pull great ill definitely watch,positive
know mouthwash commercial guy mouth full listerine whatever he trying really hard keep spitting sink thats great metaphor movie kept watching even though really difficult keeping mouthwash mouth leave minty fresh feeling movie left bad taste mouth spit chancebr br premise corny enough fun first time like thousand year gargoyle returned romania priest knew fight kill thing long dead michael pare secret agent get bottom thing gargoyle run amok unfortunately premise completely lost bad dialog less enthusiastic acting part human lead best acting done cg gargoylesbr br end movie feel like poor man van helsing check brain door might get dreary monday night gave star,negative
cant believe worst movie ever seen life laughed couple time probably stupid someone paid see movie wouldnt plot horrible made no sense acting bad couldnt even tell trying movie terrible rating f,negative
one rarity movie instead bowl popcorn one watch bottle vodka completely honest group people actually know man mo ogrodnik decided drink stupid filmbr br cinematic aspect wolfgang somethings photography seems left closeup breast mo wolfgangs collaborative effort revealed passion two actress plastic peen holding passion there also beetle banging violet would put plastic peen go butt rat porn subsequent rat smashing awesome br br alright still reading let u explain mo ogrodnik teach nyu group student finishing film class decided get poop faced watch directorial debut also wrote uptown girl cant tell much thats hammered skull movie quite experience bottom post drinking game created movie br br minute game none u could see straight sheer amount dido first thirty minute created enough reason drink pacify elephantthere something secretly pleasurable seeing two underage girl hit kurt cobain lookalike absolutely no context save mysterious scene convenience store ohsonaturally reading local newspaper thats heartshaped glass delightfully derivative lolita something provocative scene nude chinup boy suggests director history homosexual pornographic experiment wish kiddingbr br enough intellectual contemplation drinking game ensure viewing experience positive one simple likely send least one member party immediate carebr br mo ogrodnikripe drinking game every time see anything related pornography take drink every time see auteur mo ogrodniks name appear take drink sex plastic peen require two drink time somebody point gun another character take drink point probably need refillpee pee remaining sobriety body time blood including lady blood please take sip underused hulahoop girl requires one drink per second gratuitous use magic black man requires one drink cant figure throughline keep drinking beyotch whenever able predict line take drink trust u easy br br thats internet keep drinking try not get ripedbr br hawaiian smirnoff punch jr,negative
even though im quite young beatles absolutely favourite band never chance hear music release loved since rememberbr br sort film worth trying see wasnt released cinema certainly great film put tv flicking tv guide happened see film didnt much detail except something like john lennon paul mccartney meet beatles broken jared harris star id never heard played john aiden quinn played paul however certainly underestimated actorsbr br film slow start developed could see well quinn especially harris played character huge fan sort know real lennon mccartney like script brilliant harris got lennon accent personality mannerism spot quinn played mccartney quite well sometimes went irish accent makeup artist made look excellentbr br paragraph may counted spoilerbr br mentioned got slow start soon developed became quite emotional film found bit park total waste time quite character musician lennon rude line italian restaurant totally unnecessary ending poignant brings tear eye whenever watch itbr br quite different biographical film ive seen beatles got together became famous never really character well eg backbeatbr br conclusion would say youre beatles john lennon paul mccartney fan give chance may pleasent surprise minute long worth waiting film developbr br anyone know whether meeting really happen please send comment page film id interested,positive
american werewolf london funny part one isnt good computer werewolf awful perspective like seeing distorting mirror writer step throat many gag american boy say parisian girl cafe around instead leaving girl sigh respond paris,negative
originally tenacious fan first album naturally listened track pod rather disappointed watching movie view changed movie pretty funny beginning end found self engaged even though really stupid storyline attitude kg jaybles portray movie br br much entertaining enjoyable movie seen theater lately ex saw iii dull dragging casino royale way homoerotic prior installment really enjoyed br br enjoyed borat enjoy tale greatest band earth,positive
one hideous film find lifetime tv portray abhorrent behavior disgusting woman empathetic manner along nasty film burning bed enough monster film take disgusting criminal attempt show viewer shes not bad person give u break here question filmmaker letourneau man vili year old girl would made picture sympathizing empathizing person answer hell nobr br imagine switching gender film youll see others consider worthless piece garbage gender switched would no attempt empathize criminal instead wed likely treated portrayal monstrous hideous man preying upon young girl lascivious behavior landing prison brainwashed victim suffering stockholm syndrome reason letourneau not receive treatment film virtue sexbr br let call spade spade letourneau pedophile plain simple no ifs ands buts shes criminal belongs prison deserves derision contempt certainly not pity empathy,negative
premise movie decent enough sub par acting bland dullbr br spoiler film not work nature death accidental although murder wasnt like guy set also flashback secret revealed sort make event like justice degree no emotion film first minute woman calling sister hearing message dull boringbr br polishing better acting could pretty good,negative
